,fiber,wavelength,element,exptime,arm,X,Y,peak
70,2,650.8325,Ne,2.0,b,4071.9282,4129.1275,8.0
74,315,650.8325,Ne,2.0,b,2178.0,4079.0263,8.0
79,650,650.8325,Ne,2.0,b,123.6069,4129.5128,8.0
