,Unnamed: 0.1,Unnamed: 0,fiber,wavelength,element,exptime,arm,X,Y,peak,dcb_wheel,lamp
0,220,220,2,696.7352,Ar,4,r,4030.1071,920.4393,23.0000,12.7000,Ar
1,221,221,63,696.7352,Ar,4,r,3650.6457,907.0650,23.0000,12.7000,Ar
2,222,222,192,696.7352,Ar,4,r,2853.4320,887.0425,23.0000,12.7000,Ar
3,223,223,255,696.7352,Ar,4,r,2465.2308,881.9040,23.0000,12.7000,Ar
4,224,224,339,696.7352,Ar,4,r,2016.7541,880.2921,23.0000,12.7000,Ar
5,225,225,401,696.7352,Ar,4,r,1635.0199,881.9889,23.0000,12.7000,Ar
6,226,226,464,696.7352,Ar,4,r,1246.8549,886.5815,23.0000,12.7000,Ar
7,227,227,525,696.7352,Ar,4,r,870.2484,893.8068,23.0000,12.7000,Ar
8,228,228,587,696.7352,Ar,4,r,486.3812,904.1260,23.0000,12.7000,Ar
9,229,229,650,696.7352,Ar,4,r,94.5140,917.2207,23.0000,12.7000,Ar
10,230,230,2,727.4940,Ar,2,r,4028.1197,1274.2267,24.0000,12.7000,Ar
11,231,231,63,727.4940,Ar,2,r,3649.2007,1259.8228,24.0000,12.7000,Ar
12,232,232,192,727.4940,Ar,2,r,2852.8932,1238.5778,24.0000,12.7000,Ar
13,233,233,255,727.4940,Ar,2,r,2464.9695,1232.9052,24.0000,12.7000,Ar
14,234,234,339,727.4940,Ar,2,r,2017.0042,1231.4078,24.0000,12.7000,Ar
15,235,235,401,727.4940,Ar,2,r,1635.4617,1233.2390,24.0000,12.7000,Ar
16,236,236,464,727.4940,Ar,2,r,1247.5886,1238.2046,24.0000,12.7000,Ar
17,237,237,525,727.4940,Ar,2,r,871.3617,1245.8859,24.0000,12.7000,Ar
18,238,238,587,727.4940,Ar,2,r,487.9867,1256.9860,24.0000,12.7000,Ar
19,239,239,650,727.4940,Ar,2,r,96.6971,1270.8491,24.0000,12.7000,Ar
20,240,240,2,795.0362,Ar,2,r,4026.4733,2054.3492,25.0000,12.7000,Ar
21,241,241,63,795.0362,Ar,2,r,3648.0163,2038.6021,25.0000,12.7000,Ar
22,242,242,192,795.0362,Ar,2,r,2852.4458,2015.4093,25.0000,12.7000,Ar
23,243,243,255,795.0362,Ar,2,r,2464.7476,2009.1043,25.0000,12.7000,Ar
24,244,244,339,795.0362,Ar,2,r,2017.3515,2007.3827,25.0000,12.7000,Ar
25,245,245,401,795.0362,Ar,2,r,1635.9876,2009.0846,25.0000,12.7000,Ar
26,246,246,464,795.0362,Ar,2,r,1248.3257,2014.9605,25.0000,12.7000,Ar
27,247,247,525,795.0362,Ar,2,r,872.4137,2023.4739,25.0000,12.7000,Ar
28,248,248,587,795.0362,Ar,2,r,489.4350,2035.4848,25.0000,12.7000,Ar
29,249,249,650,795.0362,Ar,2,r,98.6345,2051.1857,25.0000,12.7000,Ar
30,250,250,2,826.6794,Ar,2,r,4026.9049,2422.5709,26.0000,12.7000,Ar
31,251,251,63,826.6794,Ar,2,r,3648.3265,2406.3063,26.0000,12.7000,Ar
32,252,252,192,826.6794,Ar,2,r,2852.5324,2382.2633,26.0000,12.7000,Ar
33,253,253,255,826.6794,Ar,2,r,2464.7614,2375.8028,26.0000,12.7000,Ar
34,254,254,339,826.6794,Ar,2,r,2017.5292,2373.8455,26.0000,12.7000,Ar
35,255,255,401,826.6794,Ar,2,r,1636.0668,2375.4660,26.0000,12.7000,Ar
36,256,256,464,826.6794,Ar,2,r,1248.3228,2381.7121,26.0000,12.7000,Ar
37,257,257,525,826.6794,Ar,2,r,872.3315,2390.6169,26.0000,12.7000,Ar
38,258,258,587,826.6794,Ar,2,r,489.2636,2402.9815,26.0000,12.7000,Ar
39,259,259,650,826.6794,Ar,2,r,98.2983,2419.6401,26.0000,12.7000,Ar
40,260,260,2,912.5471,Ar,2,r,4032.4016,3436.1321,28.0000,4.0000,Ar
41,261,261,63,912.5471,Ar,2,r,3652.1032,3417.1891,28.0000,4.0000,Ar
42,262,262,192,912.5471,Ar,2,r,2853.8370,3389.5289,28.0000,4.0000,Ar
43,263,263,255,912.5471,Ar,2,r,2465.2807,3382.5315,28.0000,4.0000,Ar
44,264,264,339,912.5471,Ar,2,r,2017.7020,3379.9473,28.0000,4.0000,Ar
45,265,265,401,912.5471,Ar,2,r,1635.6420,3382.1910,28.0000,4.0000,Ar
46,266,266,464,912.5471,Ar,2,r,1247.1215,3388.8054,28.0000,4.0000,Ar
47,267,267,525,912.5471,Ar,2,r,870.1213,3399.1841,28.0000,4.0000,Ar
48,268,268,587,912.5471,Ar,2,r,485.7267,3413.8815,28.0000,4.0000,Ar
49,269,269,650,912.5471,Ar,2,r,93.0577,3433.5968,28.0000,4.0000,Ar
50,270,270,2,966.0435,Ar,40,r,4040.2585,4086.4942,29.0000,12.7000,Ar
51,271,271,63,966.0435,Ar,40,r,3657.6536,4063.4411,29.0000,12.7000,Ar
52,272,272,192,966.0435,Ar,40,r,2855.9985,4031.2107,29.0000,12.7000,Ar
53,273,273,255,966.0435,Ar,40,r,2466.2577,4023.3486,29.0000,12.7000,Ar
54,274,274,339,966.0435,Ar,40,r,2017.5917,4020.8611,29.0000,12.7000,Ar
55,275,275,401,966.0435,Ar,40,r,1634.5598,4025.1082,29.0000,12.7000,Ar
56,276,276,464,966.0435,Ar,40,r,1244.8839,4030.5769,29.0000,12.7000,Ar
57,277,277,525,966.0435,Ar,40,r,866.4396,4042.4275,29.0000,12.7000,Ar
58,278,278,587,966.0435,Ar,40,r,480.1989,4061.2109,29.0000,12.7000,Ar
59,279,279,650,966.0435,Ar,40,r,85.1182,4083.1630,29.0000,12.7000,Ar
