,fiber,wavelength,element,exptime,arm,X,Y,peak,dcb_wheel,lamp
339,650,811.7542,Ar,30,m,82.5952,2385.0299,35.0000,,
340,2,842.6963,Ar,30,m,4014.0732,3052.3858,36.0000,,
341,63,842.6963,Ar,30,m,3634.7277,3041.0366,36.0000,,
342,192,842.6963,Ar,30,m,2837.7908,3025.0913,36.0000,,
343,255,842.6963,Ar,30,m,2449.6977,3020.7585,36.0000,,
344,339,842.6963,Ar,30,m,2002.4876,3019.7076,36.0000,,
345,401,842.6963,Ar,30,m,1620.7858,3020.7288,36.0000,,
346,464,842.6963,Ar,30,m,1232.7572,3023.8549,36.0000,,
347,525,842.6963,Ar,30,m,856.3750,3029.1283,36.0000,,
348,587,842.6963,Ar,30,m,472.7857,3037.0734,36.0000,,
349,650,842.6963,Ar,30,m,81.1582,3047.5861,36.0000,,
350,2,867.0325,Ar,30,m,4019.0586,3578.6034,37.0000,,
351,63,867.0325,Ar,30,m,3638.3742,3565.7381,37.0000,,
352,192,867.0325,Ar,30,m,2839.5681,3547.8250,37.0000,,
353,255,867.0325,Ar,30,m,2450.8491,3543.0777,37.0000,,
354,339,867.0325,Ar,30,m,2003.1903,3541.8934,37.0000,,
355,401,867.0325,Ar,30,m,1621.0183,3543.0329,37.0000,,
356,464,867.0325,Ar,30,m,1232.3728,3546.6807,37.0000,,
357,525,867.0325,Ar,30,m,855.2129,3552.6873,37.0000,,
358,587,867.0325,Ar,30,m,470.6300,3561.7368,37.0000,,
359,650,867.0325,Ar,30,m,77.7545,3573.8074,37.0000,,
