fiber,wavelength,element,exptime,arm,X,Y,peak
2,435.95600000000002,Hg,2,b,4061.0999999999999,933.10000000000002,1
192,435.95600000000002,Hg,2,b,3053.0999999999999,913.10000000000002,1
464,435.95600000000002,Hg,2,b,1123.0999999999999,922.10000000000002,1
650,435.95600000000002,Hg,2,b,118.09999999999999,950.10000000000002,1
2,546.22680000000003,Hg,2,b,4069.0999999999999,2549.0999999999999,2
192,546.22680000000003,Hg,2,b,3061.0999999999999,2523.0999999999999,2
464,546.22680000000003,Hg,2,b,1130.0999999999999,2530.0999999999999,2
650,546.22680000000003,Hg,2,b,125.09999999999999,2563.0999999999999,2
