Slitdefocus MidFiber ExtremeFiber
-2.00000 0.02374 0.02034
-1.95000 0.02501 0.02146
-1.90000 0.02603 0.02213
-1.85000 0.02772 0.02325
-1.80000 0.02961 0.02386
-1.75000 0.03156 0.02482
-1.70000 0.03306 0.02569
-1.65000 0.03461 0.02670
-1.60000 0.03619 0.02752
-1.55000 0.03906 0.02933
-1.50000 0.04137 0.03111
-1.45000 0.04397 0.03294
-1.40000 0.04675 0.03437
-1.35000 0.05054 0.03621
-1.30000 0.05321 0.03900
-1.25000 0.05711 0.04103
-1.20000 0.06146 0.04336
-1.15000 0.06509 0.04671
-1.10000 0.06913 0.05022
-1.05000 0.07509 0.05325
-1.00000 0.08090 0.05693
-0.95000 0.08722 0.06100
-0.90000 0.09497 0.06538
-0.85000 0.10285 0.07031
-0.80000 0.11139 0.07602
-0.75000 0.12181 0.08182
-0.70000 0.13139 0.08835
-0.65000 0.14166 0.09615
-0.60000 0.15344 0.10425
-0.55000 0.16773 0.11424
-0.50000 0.18312 0.12334
-0.45000 0.19991 0.13531
-0.40000 0.21973 0.14825
-0.35000 0.24052 0.16138
-0.30000 0.26593 0.17619
-0.25000 0.28823 0.19468
-0.20000 0.31258 0.21574
-0.15000 0.33890 0.23697
-0.10000 0.36492 0.26031
-0.05000 0.38636 0.28436
0.00000 0.40966 0.30966
0.05000 0.42936 0.33284
0.10000 0.44298 0.35722
0.15000 0.45574 0.37840
0.20000 0.46455 0.39944
0.25000 0.47054 0.41810
0.30000 0.47273 0.43355
0.35000 0.47523 0.44578
0.40000 0.47039 0.45262
0.45000 0.46573 0.45899
0.50000 0.45327 0.46326
0.55000 0.43345 0.46577
0.60000 0.40824 0.46279
0.65000 0.37678 0.45322
0.70000 0.34503 0.43710
0.75000 0.31483 0.41757
0.80000 0.28341 0.39444
0.85000 0.25293 0.36923
0.90000 0.22494 0.34374
0.95000 0.19430 0.31639
1.00000 0.16789 0.28824
1.05000 0.14285 0.25642
1.10000 0.11991 0.22736
1.15000 0.09963 0.20053
1.20000 0.08520 0.17436
1.25000 0.07451 0.15046
1.30000 0.06645 0.13138
1.35000 0.05993 0.10997
1.40000 0.05527 0.09429
1.45000 0.05086 0.08092
1.50000 0.04694 0.06945
1.55000 0.04388 0.06060
1.60000 0.04114 0.05395
1.65000 0.03875 0.04918
1.70000 0.03651 0.04569
1.75000 0.03407 0.04195
1.80000 0.03173 0.03974
1.85000 0.02981 0.03722
1.90000 0.02794 0.03527
1.95000 0.02644 0.03352
