-2.00000 0.01252 0.00962
-1.95000 0.01303 0.01003
-1.90000 0.01320 0.01044
-1.85000 0.01393 0.01107
-1.80000 0.01419 0.01163
-1.75000 0.01477 0.01217
-1.70000 0.01560 0.01280
-1.65000 0.01639 0.01321
-1.60000 0.01738 0.01391
-1.55000 0.01833 0.01497
-1.50000 0.01948 0.01545
-1.45000 0.02035 0.01636
-1.40000 0.02150 0.01734
-1.35000 0.02249 0.01791
-1.30000 0.02367 0.01883
-1.25000 0.02559 0.02019
-1.20000 0.02703 0.02089
-1.15000 0.02895 0.02193
-1.10000 0.03016 0.02322
-1.05000 0.03203 0.02474
-1.00000 0.03415 0.02614
-0.95000 0.03620 0.02775
-0.90000 0.03784 0.02903
-0.85000 0.04006 0.03130
-0.80000 0.04192 0.03311
-0.75000 0.04485 0.03557
-0.70000 0.04794 0.03760
-0.65000 0.05122 0.04010
-0.60000 0.05434 0.04296
-0.55000 0.05860 0.04583
-0.50000 0.06267 0.04826
-0.45000 0.06665 0.05122
-0.40000 0.06945 0.05493
-0.35000 0.07396 0.05809
-0.30000 0.07858 0.06183
-0.25000 0.08406 0.06610
-0.20000 0.08832 0.07109
-0.15000 0.09267 0.07543
-0.10000 0.09822 0.08017
-0.05000 0.10092 0.08519
0.00000 0.10457 0.09028
0.05000 0.10714 0.09311
0.10000 0.10925 0.09737
0.15000 0.11043 0.10005
0.20000 0.11155 0.10351
0.25000 0.11129 0.10627
0.30000 0.11156 0.10758
0.35000 0.11182 0.10813
0.40000 0.11167 0.10842
0.45000 0.11238 0.10795
0.50000 0.11125 0.10840
0.55000 0.11203 0.10881
0.60000 0.10969 0.10882
0.65000 0.11049 0.10932
0.70000 0.11040 0.11000
0.75000 0.11074 0.11066
0.80000 0.11049 0.11048
0.85000 0.11041 0.10973
0.90000 0.11095 0.10995
0.95000 0.11177 0.11055
1.00000 0.11119 0.11032
1.05000 0.11116 0.11058
1.10000 0.10761 0.10985
1.15000 0.10158 0.11066
1.20000 0.09429 0.10906
1.25000 0.08652 0.10792
1.30000 0.07760 0.10303
1.35000 0.06730 0.09741
1.40000 0.05827 0.09049
1.45000 0.04989 0.08247
1.50000 0.04230 0.07561
1.55000 0.03525 0.06814
1.60000 0.02924 0.06031
1.65000 0.02556 0.05289
1.70000 0.02313 0.04583
1.75000 0.02151 0.03890
1.80000 0.01990 0.03375
1.85000 0.01811 0.02911
1.90000 0.01717 0.02546
1.95000 0.01640 0.02255
